event_id_cnty,event_date,state_clean,location,event_type,notes_short,fatalities,kidnapped_count,fatalities_combatants,fatalities_security_forces,fatalities_civilians,civilian_targeting,is_duplicate,corrected_kidnapped_count,corrected_fatalities,corrected_combatants,corrected_security,corrected_civilians,corrected_duplicate,review_note
NIG12433,2018-05-22,Kaduna,Birnin Gwari,Violence against civilians,22 May. 47 travellers are kidnapped in the Birnin Gwari area in several incidents between the evening of 22 May and the ...,0,47.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12435,2018-05-22,Plateau,Barkin Ladi,Violence against civilians,22 May. Fulanis attack Rambuu village in Barkin-Ladi over two days. Four deaths reported.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12434,2018-05-22,Lagos,Mile 12,Riots,22 May. A woman is nearly lynched in Mile 12 after she was accused of attempting to kidnap a child.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12436,2018-05-23,Kaduna,Birnin Gwari,Violence against civilians,23 May. 47 travellers are kidnapped in the Birnin Gwari area in several incidents between the evening of 22 May and the ...,0,47.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12439,2018-05-23,Plateau,Barkin Ladi,Violence against civilians,23 May. Fulanis attack Rambuu village in Barkin-Ladi over two days. Four deaths reported.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12561,2018-05-25,Ekiti,Ado-Ekiti,Violence against civilians,25 May. 3 travellers were killed by Fulani herders in Ado-Ekiti. 2 of the victims were travelling in a commercial bus wh...,3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG14043,2018-05-25,Zamfara,Gidan Goga,Violence against civilians,"25 May. Gunment attack farmers in Gidan Goga of Maradun LGA, killing 7 persons in the fields.",7,0.0,0.0,0.0,7.0,Yes,No,,,,,,,
NIG12452,2018-05-26,Benue,Anyiin,Violence against civilians,"26 May, on or about. Two civilians were killed by suspected Fulanis 'at the weekend' on Anyiin Road, at Tse Adendem vill...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12453,2018-05-26,Benue,Gbajimba,Violence against civilians,"26 May, on or about. Suspected Fulanis were reported to have attacked Tse Shitenger in Uvir council ward of Guma Local, ...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12451,2018-05-26,Ondo,Akure,Violence against civilians,26 May. 'Political thugs' (likely either PDP or a faction of the APC) stormed an APC venue in Akure. 'Many' injuries rep...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14044,2018-05-26,Zamfara,Gidan Goga,Violence against civilians,"26 May. Gunmen attack civilians in Malikawa village of Gidan Goga in Maradun LGA, with 30 deaths reported.",30,0.0,0.0,0.0,30.0,Yes,No,,,,,,,
NIG12450,2018-05-26,Benue,Katsina-Ala,Violence against civilians,26 May. Unidentified gunmen kill a community leader in Kastina Ala during the early morning hours.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12455,2018-05-27,Taraba,Jalingo,Violence against civilians,27 May. Fulanis attack a Catholic Church in Jalingo. A priest 'narrowly escaped death.',0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12454,2018-05-27,Borno,Konduga,Explosions/Remote violence,27 May. Two Boko Haram suicide bombers strike a Konduga mosque. At least three civilians dead in addition to the bombers...,5,0.0,2.0,0.0,3.0,Yes,No,,,,,,,
NIG12458,2018-05-28,Plateau,Gashit,Violence against civilians,28 May. Fulanis attack Gashish (Gashit) village. Two civilians dead.,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12457,2018-05-28,Borno,Uba,Violence against civilians,28 May. Boko Haram attacks and kills a Fulani civilian at Pumbum bush in Askira/Uba.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12461,2018-05-29,Taraba,Wukari,Violence against civilians,"29 May. Unidentified gunmen invade the home of a civilian killing two. The motive for the attack is not known, though it...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12462,2018-05-29,Plateau,Ropp,Violence against civilians,29 May. Fulanis attack Ropp village during the morning hours. One civilian dead.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14045,2018-05-29,Rivers,Port Harcourt,Violence against civilians,"Week of 29 May. An unidentified armed group attempts to assassinate King Ateke Tom in Port Haricourt of Rivers State, bu...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12468,2018-05-30,Kaduna,Birnin Gwari,Violence against civilians,30 May. Unidentified assailants attacked an area between Kiryoyi and Maganda villages of Birnin Gwari local government a...,0,25.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12469,2018-05-30,Abia,Aba,Protests,"On 30 May 2018, a combined military/police force opened fire at a group of IPOB protesters conducting a 'sit at home exe...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12473,2018-05-31,Rivers,Okrika,Violence against civilians,"31 May. One person has been killed, following an attempt by unknown people to assassinate the Amanyanabo of Okochiri Kin...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12477,2018-05-31,Benue,Anyiin,Violence against civilians,31 May. Fulanis attacked and killed two travellers in Mbazar community between Anyiin and Akwana in Logo local governmen...,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12475,2018-05-31,Plateau,Barkin Ladi,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12474,2018-05-31,Plateau,Riyom,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",3,0.0,0.0,0.0,3.0,Yes,Flagged by dedup,,,,,,,
NIG12476,2018-05-31,Plateau,Bukuru,Violence against civilians,"31 May, on or before. The Berom ethnic nationality in Plateau state has accused Fulani herdsmen of raping and killing wo...",4,0.0,0.0,0.0,4.0,Yes,Flagged by dedup,,,,,,,
NIG12485,2018-06-01,Plateau,Gashit,Violence against civilians,01 June. Fulani militia attacks Kura Falls community in Gashish District of Barkin-Ladi Local Government Area of Plateau...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12482,2018-06-01,Ekiti,Ado-Ekiti,Violence against civilians,"01 June. A former governorship aspirant in the All Progressive Congress in Ekiti State, Michael Opeyemi Bamidele was sho...",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG14046,2018-06-01,Rivers,Port Harcourt,Violence against civilians,01 June. Police torture and kill a civilian in prison at Mile 1 area near Port Harcourt in Rivers State.,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12489,2018-06-02,Plateau,Gashit,Violence against civilians,02 June. Fulani militia attacks Kura Falls community in Gashish District of Barkin-Ladi Local Government Area of Plateau...,2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12710,2018-06-02,Benue,Tsedyugh,Violence against civilians,02 June. 19 farmers were killed when Fulani herdsmen attacked Tsedyugh. It was reported that the herders burnt many hous...,19,0.0,0.0,0.0,19.0,Yes,No,,,,,,,
NIG12496,2018-06-03,Delta,Issele-Uku,Violence against civilians,03 June. Fulanis attack a family of five at a farm near Issele-Uku. No casualties.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12495,2018-06-03,Benue,Tseaondo,Violence against civilians,"03 June. Suspected herdsmen in the early hours invaded Tse-Adough settlement of Yaav ward, Turan District in Kwande coun...",10,0.0,0.0,0.0,10.0,Yes,No,,,,,,,
NIG12505,2018-06-04,Benue,Gbajimba,Violence against civilians,"04 June. Fulanis attack Yelwata, Guma LGA, killing two civilians.",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12711,2018-06-04,Taraba,Takum,Violence against civilians,"04 June. Gunmen, suspected to be Fulani herdsmen attacked Dinyina, in Takum LGA community, killing 5 people in the attac...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12509,2018-06-05,Taraba,Gassol,Violence against civilians,05 June. Five people were killed and scores injured following an attack by gunmen on Dan-Anacha and Dinya villages in Ga...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12522,2018-06-05,Delta,Warri,Violence against civilians,"05 June. Police beat an attorney in Warri for allegedly defending his client, leaving him injured.",0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12513,2018-06-06,Benue,Ugba,Violence against civilians,"06 June. Fulanis attack Tse Igbur in Logo LGA, killing one civilian and injuring many. The attack was coordinated with a...",5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12512,2018-06-06,Benue,Gbajimba,Violence against civilians,"06 June. Fulanis attack Tse Shan in Saghev, Guma LGA killing eight civilians. The attack was coordinated with a second a...",8,0.0,0.0,0.0,8.0,Yes,No,,,,,,,
NIG12712,2018-06-06,Nasarawa,Doma,Violence against civilians,"06 June, on or about. A 40-year-old man identified as Daniel Eka was murdered by a herdsman who was grazing on his farm ...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12713,2018-06-06,Plateau,Bassa,Violence against civilians,06 June. 'Some' Irigwe people were killed by Fulani herdsmen in Bassa. Exact fatality number not known.,3,0.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12523,2018-06-06,Kwara,Illorin,Violence against civilians,06 June. Unidentified assailants assassinate the Director of Planning in the Ministry of Economic Planning and Developme...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG14047,2018-06-06,Ekiti,Efon-Alaiye,Violence against civilians,Week of June 6. An unidentified armed group kidnaps and kills three people in Efon-Alaiye of Efon LGA.,3,3.0,0.0,0.0,3.0,Yes,No,,,,,,,
NIG12515,2018-06-07,Bayelsa,Nembe,Violence against civilians,07 June. Residents of Oluasiri community in Nembe local government area accuse JTF forces of attacking their community a...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG26845,2018-06-08,Kaduna,Birnin Gwari,Violence against civilians,"On 8 June 2018, gunmen, presumably belong to a Kaduna militia, killed two persons and abducted 32 others in two attacks ...",2,32.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12517,2018-06-08,Bayelsa,Nembe,Violence against civilians,08 June. Residents of Oluasiri community in Nembe local government area accuse JTF forces of attacking their community a...,5,0.0,0.0,0.0,5.0,Yes,No,,,,,,,
NIG12528,2018-06-10,Plateau,Kwal,Violence against civilians,"10 June. No fewer than two persons have been killed by suspected Fulani herdsmen during an attack on Irigwe chiefdom, ne...",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
NIG12529,2018-06-10,Osun,Iwo,Violence against civilians,10 June. Fulanis kidnap a Methodist preacher and two others along the Iwo-Osogbo in Osun road.,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12587,2018-06-10,Plateau,Barkin Ladi,Violence against civilians,10 June. Four Fulanis travelling in a vehicle with cattle were ambushed around Fan. Perpetrators not known. Another grou...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12526,2018-06-10,Adamawa,Mubi,Explosions/Remote violence,10 June. An explosive device killed one person and injured two others at a metal scrap site in Mubi. The actors who plac...,1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12539,2018-06-11,Enugu,Agbani,Violence against civilians,"11 June. The traditional monarch of Ogbosinne Autonomous Community, in Nkanu West Local Government Area of Enugu State i...",1,0.0,0.0,0.0,1.0,Yes,No,,,,,,,
NIG12540,2018-06-12,Anambra,Orkija,Riots,12 June. A group of youths attempt a lynch a school principal they accused of having a sexual affair with a student in O...,0,0.0,0.0,0.0,0.0,Yes,No,,,,,,,
NIG12543,2018-06-12,Benue,Tombo,Violence against civilians,"12 June. Fulanis attack Tombo ward of Logo LGA, killing two brothers. The attack was followed by a second attack nearby.",2,0.0,0.0,0.0,2.0,Yes,No,,,,,,,
